node_id,canonical_firm_id,canonical_name,node_type,entity_type,entity_level,parent_firm_id,parent_canonical_name,year
104,FIRM_0138,SAP España,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
105,FIRM_0139,SAP France,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
106,FIRM_0140,SAP Italia,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
108,FIRM_0142,SAP Nederland,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
109,FIRM_0143,SAP Schweiz,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
111,FIRM_0145,SAP SuccessFactors,target_entity,hr_software,subsidiary,FIRM_0132,SAP,2023
112,FIRM_0146,SAP UK,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
113,FIRM_0148,STO Express,target_entity,logistics,parent,,,2023
117,FIRM_0153,Silicon Valley Bank,target_entity,banking,subsidiary,FIRM_0056,First Citizens BancShares,2023
119,FIRM_0155,Snowflake,source_firm,data_platform,parent,,,2023
120,FIRM_0158,Streamlit,target_entity,app_framework,subsidiary,FIRM_0155,Snowflake,2023
121,FIRM_0159,Sun Art Retail,target_entity,retail,subsidiary,FIRM_0004,Alibaba,2023
122,FIRM_0162,Tencent Cloud,target_entity,cloud_provider,service,FIRM_0161,Tencent,2023
123,FIRM_0163,Teradata,source_firm,data_platform,parent,,,2023
125,FIRM_0165,Toggled,target_entity,iot_lighting,subsidiary,FIRM_0007,Altair Engineering,2023
126,FIRM_0166,Trendyol,target_entity,ecommerce,subsidiary,FIRM_0004,Alibaba,2023
130,FIRM_0170,Waymo,target_entity,autonomous_vehicle,subsidiary,FIRM_0006,Alphabet,2023
131,FIRM_0171,Whole Foods Market,target_entity,retail,subsidiary,FIRM_0009,Amazon,2023
134,FIRM_0175,YTO Express,target_entity,logistics,parent,,,2023
136,FIRM_0177,ZeniMax Media,target_entity,gaming,subsidiary,FIRM_0097,Microsoft,2023
137,FIRM_0178,iRobot,target_entity,robotics_consumer_electronics,company,,,2023
