node_id,canonical_firm_id,canonical_name,node_type,year,direct_exposure,cascading_exposure,dependency_concentration,structural_non_substitutability,intrinsic_risk,incident_signal,network_criticality,node_vulnerability,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,composite_risk
84,FIRM_0115,OpenAI,target_entity,2025,0.3095174731750984,0.10922786861876473,1.0,0.5,0.0,0.025538707102952914,0.06288696768609855,0.022106418697262868,0.975609756097561,0.8292682926829268,0.75,0.4573170731707317,0.8493902439024391
85,FIRM_0117,Oracle,source_firm,2025,0.11655307234974854,0.2035058351493814,0.5703125,0.3333333333333333,0.6,0.0,0.08275859640816946,0.32068964910204234,0.7317073170731707,0.9146341463414634,0.4512195121951219,0.1524390243902439,0.6542682926829269
88,FIRM_0120,Palantir Technologies,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
89,FIRM_0121,Palo Alto Networks,target_entity,2025,0.062322861345527794,0.11100318280875349,1.0,0.5,0.0,0.01596169193934557,0.035218678130423134,0.012795092517442177,0.5365853658536586,0.8414634146341463,0.75,0.4573170731707317,0.6323170731707318
90,FIRM_0122,Perplexity AI,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
93,FIRM_0125,PricewaterhouseCoopers,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.174780526735834,0.0,0.0436951316839585,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
95,FIRM_0129,Red Hat,target_entity,2025,0.31277550306417795,0.43192800642956686,0.6564205688020683,0.3333333333333333,0.0,0.0039904229848363925,0.16309501451495093,0.04177135937494683,0.9878048780487805,0.975609756097561,0.4634146341463415,0.1524390243902439,0.796951219512195
97,FIRM_0131,Rivian,target_entity,2025,0.10629809347313172,0.006130090316575092,1.0,0.5,0.0,0.08140462889066241,0.039544083062055056,0.03023717798817937,0.7195121951219512,0.4146341463414634,0.75,0.4573170731707317,0.6384146341463416
98,FIRM_0132,SAP,source_firm,2025,0.1753453515009351,0.3315021042111307,0.13469549692521324,0.0625,0.5166666666666666,0.0,0.9592622950085792,0.4981489070854781,0.8414634146341463,0.951219512195122,0.32926829268292684,0.018292682926829267,0.6786585365853658
102,FIRM_0136,SAP Concur,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
