tier,year,rank,canonical_firm_id,canonical_name,node_type,composite_risk,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm
top10,2023,10,FIRM_0131,Rivian,target_entity,0.7533783783783784,0.8445945945945945,0.7364864864864864,0.7094594594594595,0.4189189189189188
top10,2024,1,FIRM_0110,Nuance Communications,target_entity,0.8763888888888888,1.0,0.9583333333333331,0.7013888888888888,0.4444444444444444
top10,2024,2,FIRM_0115,OpenAI,target_entity,0.8666666666666666,0.9861111111111112,0.9444444444444444,0.7013888888888888,0.4444444444444444
top10,2024,3,FIRM_0084,LinkedIn,target_entity,0.8541666666666666,0.972222222222222,0.9166666666666664,0.7013888888888888,0.4444444444444444
top10,2024,4,FIRM_0060,GitHub,target_entity,0.8305555555555556,0.9305555555555556,0.9027777777777776,0.7013888888888888,0.4444444444444444
top10,2024,5,FIRM_0129,Red Hat,target_entity,0.8305555555555554,0.9583333333333331,0.8333333333333333,0.7013888888888888,0.4444444444444444
top10,2024,6,FIRM_0065,HashiCorp,target_entity,0.8041666666666666,0.9166666666666664,0.8055555555555556,0.7013888888888888,0.4444444444444444
top10,2024,7,FIRM_0003,Activision Blizzard,target_entity,0.7902777777777777,0.8611111111111112,0.875,0.7013888888888888,0.4444444444444444
top10,2024,8,FIRM_0152,Siemens Digital Industries Software,target_entity,0.7861111111111111,0.9027777777777776,0.75,0.7013888888888888,0.4444444444444444
top10,2024,9,FIRM_0171,Whole Foods Market,target_entity,0.772222222222222,0.8472222222222221,0.8194444444444444,0.7013888888888888,0.4444444444444444
top10,2024,10,FIRM_0164,TikTok,target_entity,0.748611111111111,0.9444444444444444,0.4583333333333332,0.7013888888888888,0.4444444444444444
bottom10,2022,1,FIRM_0012,Amazon Web Services,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,2,FIRM_0016,Ant Group / Alipay,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,3,FIRM_0024,BNP Paribas,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,4,FIRM_0025,BNY Mellon,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,5,FIRM_0026,Bilibili,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,6,FIRM_0033,China Broadcasting Network,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,7,FIRM_0034,China Mobile,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,8,FIRM_0035,China Telecom,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,9,FIRM_0036,China Unicom,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2022,10,FIRM_0037,Cloud4C,target_entity,0.2363095238095238,0.1607142857142857,0.1964285714285714,0.1547619047619047,0.8571428571428571
bottom10,2023,1,FIRM_0004,Alibaba,source_firm,0.2087837837837838,0.1689189189189189,0.2297297297297297,0.3648648648648648,0.054054054054054
bottom10,2023,2,FIRM_0006,Alphabet,target_entity,0.2256756756756756,0.1689189189189189,0.2297297297297297,0.4189189189189188,0.1148648648648648
bottom10,2023,3,FIRM_0007,Altair Engineering,source_firm,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,4,FIRM_0016,Ant Group / Alipay,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,5,FIRM_0024,BNP Paribas,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,6,FIRM_0025,BNY Mellon,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,7,FIRM_0026,Bilibili,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,8,FIRM_0033,China Broadcasting Network,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,9,FIRM_0054,Ernst & Young,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2023,10,FIRM_0057,First Citizens Bank,target_entity,0.2472972972972973,0.1689189189189189,0.2297297297297297,0.1554054054054054,0.8581081081081081
bottom10,2024,1,FIRM_0006,Alphabet,target_entity,0.1909722222222222,0.1388888888888889,0.1736111111111111,0.375,0.1180555555555555
bottom10,2024,2,FIRM_0012,Amazon Web Services,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,3,FIRM_0016,Ant Group / Alipay,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,4,FIRM_0035,China Telecom,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,5,FIRM_0054,Ernst & Young,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,6,FIRM_0059,Flex,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,7,FIRM_0062,Google Cloud,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,8,FIRM_0063,Google DeepMind,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,9,FIRM_0076,JPMorgan Chase Bank,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
bottom10,2024,10,FIRM_0087,MOVEit,target_entity,0.21875,0.1388888888888889,0.1736111111111111,0.1319444444444444,0.8819444444444444
